OTHER OFFENSE,THEFT,CRIMINAL DAMAGE,WEAPONS VIOLATION,BATTERY,OFFENSE INVOLVING CHILDREN,CRIM SEXUAL ASSAULT,NARCOTICS,GAMBLING,SEX OFFENSE,ASSAULT,PUBLIC PEACE VIOLATION,BURGLARY,MOTOR VEHICLE THEFT,DECEPTIVE PRACTICE,LIQUOR LAW VIOLATION,ROBBERY,CRIMINAL TRESPASS,INTERFERENCE WITH PUBLIC OFFICER,HOMICIDE,KIDNAPPING,PROSTITUTION,STALKING,INTIMIDATION,CRIMINAL SEXUAL ASSAULT,ARSON,RITUALISM,DOMESTIC VIOLENCE,OBSCENITY,OTHER NARCOTIC VIOLATION,PUBLIC INDECENCY,CONCEALED CARRY LICENSE VIOLATION,NON-CRIMINAL,HUMAN TRAFFICKING,NON-CRIMINAL (SUBJECT SPECIFIED),NON - CRIMINAL
167,412,233,32,296,99,38.0,97,2.0,65.0,70,5,66,60,94,3,41,29,1,2.0,2,5.0,1,1,4,,,,,,,,,,,
101,221,118,9,143,4,2.0,175,1.0,4.0,66,2,68,65,78,2,35,35,1,0.0,1,11.0,0,1,0,,,,,,,,,,,
96,226,136,7,165,3,7.0,133,0.0,5.0,79,7,57,72,49,2,51,35,0,0.0,3,16.0,1,0,0,1.0,,,,,,,,,,
96,243,133,9,173,5,2.0,142,2.0,1.0,57,3,55,87,42,4,55,29,3,2.0,2,19.0,0,1,0,1.0,,,,,,,,,,
90,265,142,6,178,9,6.0,185,0.0,2.0,68,5,55,86,53,8,55,29,2,1.0,3,16.0,0,0,0,3.0,,,,,,,,,,
80,247,156,19,237,4,4.0,166,1.0,9.0,67,3,64,76,33,3,54,36,1,4.0,4,21.0,0,0,0,4.0,,,,,,,,,,
79,205,129,8,218,6,7.0,155,3.0,5.0,61,2,51,58,18,0,36,42,2,1.0,3,15.0,0,0,0,0.0,1.0,,,,,,,,,
90,244,104,5,192,9,3.0,161,1.0,6.0,67,3,53,62,54,5,44,36,1,0.0,1,12.0,1,0,0,3.0,0.0,,,,,,,,,
76,261,120,9,212,3,3.0,115,0.0,5.0,63,9,75,65,50,2,38,52,0,2.0,2,15.0,4,0,0,3.0,0.0,,,,,,,,,
101,255,113,5,199,6,1.0,145,2.0,5.0,88,7,71,62,57,1,41,40,1,2.0,3,27.0,0,3,0,2.0,0.0,,,,,,,,,
87,257,111,14,222,4,4.0,160,0.0,5.0,89,1,62,59,39,5,34,37,2,5.0,1,25.0,0,1,0,2.0,0.0,1.0,1.0,,,,,,,
103,290,150,16,239,1,5.0,152,3.0,8.0,78,10,69,53,49,7,45,35,0,1.0,2,31.0,1,0,0,4.0,0.0,,1.0,,,,,,,
89,268,154,9,251,4,9.0,175,1.0,9.0,79,4,53,62,24,4,45,41,2,1.0,2,18.0,0,2,0,5.0,0.0,,0.0,,,,,,,
73,208,134,8,249,3,5.0,128,1.0,4.0,72,2,44,59,27,5,45,34,2,2.0,2,10.0,0,0,0,1.0,1.0,,0.0,,,,,,,
104,313,130,11,203,6,3.0,167,1.0,4.0,62,7,71,62,53,6,48,42,3,1.0,0,13.0,0,1,0,1.0,0.0,,0.0,,,,,,,
87,270,124,14,219,3,8.0,149,4.0,10.0,58,7,65,58,37,1,56,50,1,3.0,3,23.0,0,1,0,0.0,0.0,,0.0,,,,,,,
93,281,126,18,205,5,4.0,156,1.0,6.0,72,5,76,66,56,2,48,37,1,0.0,2,23.0,1,1,0,3.0,0.0,,0.0,,,,,,,
89,255,115,14,232,4,9.0,161,1.0,2.0,69,5,69,77,40,3,55,41,0,1.0,7,24.0,3,0,0,2.0,0.0,,0.0,,,,,,,
69,279,141,5,200,3,1.0,145,4.0,3.0,47,4,65,78,46,2,51,36,0,1.0,5,26.0,1,0,0,2.0,0.0,,0.0,,,,,,,
104,243,143,14,239,9,3.0,153,0.0,4.0,53,7,53,77,40,2,51,33,1,2.0,0,17.0,1,1,0,6.0,0.0,,0.0,,,,,,,
84,221,121,6,222,8,2.0,169,2.0,5.0,51,4,38,55,16,3,42,38,1,3.0,4,7.0,2,0,0,0.0,0.0,,0.0,1.0,,,,,,
107,259,99,8,181,8,1.0,156,2.0,5.0,64,3,65,66,53,2,43,41,1,1.0,2,9.0,1,2,0,1.0,0.0,,0.0,0.0,,,,,,
84,253,117,13,208,7,4.0,183,1.0,5.0,60,7,66,69,50,5,40,45,0,0.0,3,26.0,1,0,0,3.0,0.0,,0.0,0.0,,,,,,
67,243,87,8,181,2,3.0,142,2.0,5.0,67,4,53,70,49,1,38,50,1,0.0,3,20.0,3,1,0,1.0,0.0,,0.0,0.0,,,,,,
74,237,115,7,184,3,4.0,166,0.0,3.0,73,5,72,75,44,6,32,55,0,1.0,1,24.0,1,1,0,0.0,0.0,,0.0,0.0,,,,,,
88,236,151,14,206,4,5.0,168,1.0,10.0,77,6,77,73,51,5,54,41,3,0.0,3,18.0,2,1,0,2.0,0.0,,0.0,0.0,,,,,,
76,241,128,11,233,5,4.0,173,0.0,3.0,67,7,52,73,34,4,50,33,1,1.0,4,13.0,0,0,0,2.0,0.0,,0.0,0.0,,,,,,
